,N.º,Título,Duración,Álbum,Título_v2,Letra
10,2.,Último momento,4:56,Peligro,Último momento,"6 ContributorsÚltimo Momento Lyrics[Letra de ""Ultimo Momento""]

[Verso 1]
Que me paso
Fue un impacto
Aqui en mi corazon
Cuando oia en el
Encontre tu mirada y tu voz
Busco mi alma
Asi empezo
Circulaba en la calle
Que este mundo ya estaba en función
Con su circo pero entre los dos
No importaba

[Verso 2]
Ahora me dices
Tu me gustas y me callo
Bajo la vista tu mirada es un taladro
Es mi emocion
Y si el telefono resuena con un salto
Y me da rabia cuando llama equivocado
No por favor

[Descanso]
Ultimo momento
La noticia es que me he enamorado
Ultimo momento
Basta de dias vacios, te amo
Ultimo momento
Los noticieros debieran dictarlo
Ultimo momento
Ultimo momento
Ultimo momento
You might also like[Verso 3]
Que me paso
En las calles los ninos de Dios
Se decian obreros del Senor
No me inquieta porque esta canción es solo una alarma
Asi empezo
Sin querer me trajiste el amor
Y la verdad es que es lo mejor
Que paso en mi vida
El buzon pide tus cartas

[Verso 4]
Ahora me dices
Como si si no querias
Hasta el metal que es mas fuerte
Algun dia se oxida
Y eso paso
Los titulares no se como no se olvidan
Y con un latigo chasguean mis heridas
Por la audicionEmbed"
11,3.,Tú serás la historia de mi vida (You'll Be The Story Of My Life),4:52,Peligro,Tú serás la historia de mi vida,"6 ContributorsTú Serás La Historia De Mi Vida Lyrics[Letra de ""Tu Serás La Historia De Mi Vida""]

[Verso 1]
En la agenda de mis días
En sus páginas queridas
Estoy yo tras tu experiencia de vivir
Y siempre tu fuerza que me guía
Aliviaste mis heridas
Y el empuje de tu amor
Me da el valor
Mi alma
Nadie la conoce tanto como tú
Mi vida
Yo la veo reflejada en ti

[Coro]
Pues mi historia tú serás
Me guiaste en la oscuridad
Y a mi lado siempre estás
Cuando llamo yo
Cuando llamo yo
Quiero amarte y darte más
Y si yo escribiera un libro
Te dirá de aquí al final
Que mi historia
Que mi historia tú serás
El amor
You might also like[Verso 2]
Cuando pienso en el mañana
Tan feliz o en la tristeza
Buscaré donde te encuentres tú
Pues me pierdo sin tu amor
Y seré tu fiel amiga
Como el aire que respiras
Sangre de tu corazón

[Coro]
Pues mi historia tú serás
Me guiaste en la oscuridad
Y a mi lado siempre estás
Cuando llamo yo
Cuando llamo yo
Quiero amarte y darte más
Y si yo escribiera un libro
Te dirá de aquí al final
Que mi historia
Que mi historia tú serás
Tú serás

[Pre-Coro]
Mi alma
Nadie la conoce tanto como tú
Mi vida
Yo la veo reflejada en ti
[Coro]
Pues mi historia tú serás
Me guiaste en la oscuridad
Y a mi lado siempre estás
Cuando llamo yo
Cuando llamo yo
Quiero amarte y darte más
Y si yo escribiera un libro
Te dirá de aquí al final
Que mi historia
Que mi historia tú serás

[Outro]
Me guiaste en la oscuridad
No, no no no
Cuando llamo yo
Cuando llamo yo
De aquí al final
Que mi historia
Que mi hitoria
Tú serás
El amor
El amorEmbed"
12,4.,Peligro,4:39,Peligro,Peligro,"5 ContributorsPeligro Lyrics[Letra de ""Peligro""]

[Verso 1]
Me encanta tumbarme al sol
Pelo suelto y bronceador
Con mi walkman amarillo
Toalla, arena en mi oído
Cuando pasas que se yo
Siento conmocion que no
Dedicabas tu sonrisa
Yo me hago la distraída
Delatando al corazon
Y me pongo mis jeans
Y corro, corro
No me sigas no, no, no

[Verso 2]
No se como
En tus ojos
De arenas movedizas
Siento todo
Y aqui en la cuerda floja
Estoy que horror

[Verso 3]
No se como se puede ser tan bello
Tan divertido un trueno
En mi cielo
Y miedo siento
Que esto es tu amor
Peligro, peligro
You might also like[Verso 4]
Me encanta mi colección
Las revistas
Y los chistes que no explican
Que distraen mi atención
Por favor ya basta
Stop, stop, stop, stop

[Verso 5]
Si cortamos es mejor
Dejame asi con mi vida
Quien dijo que en mi pelicula
Serías el primer actor
Y te llevo hasta en mis bolsillos
Creo que enloquecereEmbed"
13,5.,Quince años,3:30,Peligro,Quince años,"7 ContributorsQuince Años Lyrics[Letra de ""Quince Años""]

[Verso 1]
Este nuevo amanecer
Es abrir la puerta de mis años
Sin saber por que
Esta vida nunca pasa en vano
Siempre hay un despues
Y vivir en este mundo
Es algo muy dificil de ejercer

[Pre-Coro]
Busco eternas primaveras
Que renazcan a la vida
Huracan de emociones
Me confunden, me dominan

[Coro]
Mi vida es transparente todavia
La flor que se abre a plena luz del dia
Mi primer amor
Lo siento tan directo al Corazon

[Verso 2]
Hoy descubro que es amar
Un abrazo, una caricia plena
Algo mas que dar
Es el sueno que ahora me libera
Mi otra verdad
En mis quince soy mujer en realidad
You might also like[Pre-Coro]
Busco eternas primaveras
Que renazcan a la vida
Huracan de emociones
Me confunden, me dominan

[Coro]
Mi vida es transparente todavia
La flor que se abre a plena luz del dia
Mi primer amor
Lo siento tan directo al CorazonEmbed"
14,6.,Brujería,4:08,Peligro,Brujería,"7 ContributorsBrujería Lyrics[Letra de ""Brujería""]

[Intro]
Por si este maleficio habla del peligro
Mira las llamas rojas del amor en las sombras

[Verso 1]
Nooo
Ese es el sonido más dulce que conocen mis oidos qué
Hechizo
Me lleva hasta tu nombre sí
Si no
Sacude el interior tus ojos de carbon
Cuál sera el exorcismo dímelo
Ahhhh

[Coro]
Qué clase de brujería domina mi corazón
Un Halloween de mentiras, mentiras
No sigas no
Qué clase de brujería encendida en mi razón
Pero me matas de amor sin salida y que haría yo

[Verso 2]
Es como un aquelarre por los que se esconde
Entre mis fantasías en la piel que se anima no
No-sí
Conocí a una gitana de unas de gato
Las plumas de lechuza y el arbol de un cilantro, sí
Sí-no
Me dice mi emocion que no me niegue hoy
Trepan de tu escoba y ya se convirtío
You might also like[Coro]
Qué clase de brujería domina mi corazón
Un Halloween de mentiras, mentiras
No sigas no
Qué clase de brujería encendida en mi razón
Pero me matas de amor sin salida y que haría yoEmbed"
15,7.,Eterno amor,4:47,Peligro,Eterno amor,"6 ContributorsEterno Amor Lyrics[Letra de ""Eterno Amor""]

[Verso 1]
Hace tiempo que nos conocemos
Que estamos los dos
En algo que parece una amistad
Compartimos mil secretos
Nos contamos mil cosas
Es hora de decirte la verdad

[Coro]
Algo nuevo estoy sintiendo
Mi corazon te quiere hablar
Que por ti esta latiendo
Y te quiere preguntar
Que vas ha hacer el resto de tu vida
Que vas ha hacer desde ahora y para siempre
Yo quiero saber
Si un milagro puede ser
Que este sueno sea
El comienzo de un eterno amor

[Verso 2]
Yo quisiera que me acompanes
Que me cambies la vida
Quisiera verte en cada atardecer
Y que sepas que te extrano
Cada vez que te vas
Necesito tenerte cerca un poco mas
You might also like[Coro]
Yo no puedo estar fingiendo
Mi corazon no aguanta mas
Que por ti sigue latiendo
Y te quiere preguntar
Que vas ha hacer el resto de tu vida
Que vas ha hacer desde ahora y para siempre
Yo quiero saber
Si un milagro puede ser
Que este sueno sea
El comienzo de un eterno amorEmbed"
16,8.,Controlas mi destino,4:36,Peligro,Controlas mi destino,"6 ContributorsControlas Mi Destino Lyrics[Letra de ""Controlas Mi Destino""]

[Verso 1]
Cuando pienso que este asunto
Se puede solucionar
Te me acercas y echas todo marcha atras
Y el temor me hizo en eso mucho mas fuerte que tu
Pero me vas a vencer asi nomas
Pero ahora me doy cuenta
Que mi pulso se acelera y tiemblo
Se me atrofian mis sentidos
Se detienen mis latidos
No soporto que tu controles mi destino

[Coro]
Ten un poco de compasion por mi
No ves que estoy a punto de desistir
Me encuentro inmovil de cabeza a los pies
Y ya sinceramente no se que hacer
Ten un poco de compasion por mi
No ves que estoy a punto de desistir
Me encuentro inmovil de cabeza a los pies
Y ya sinceramente no se que hacer

[Verso 2]
Y ahora me dice por dentro
Que me olvide ya del miedo
Que el amor en mi esta ardiendo como el fuego
Y el temor de que me queme
Vuelve e invade mi terreno
Que las cosas no funcionen como quiero
Pero ese sentimiento es mas fuerte
Que mis pensamientos
Se me atrofian mis sentidos
Se detienen mis latidos
No soporto que tu controles mi destino
Ten un poco de compasion por miYou might also likeEmbed"
17,9.,Este amor es lo más bello del mundo,4:20,Peligro,Este amor es lo más bello del mundo,"7 ContributorsEste Amor es lo Más Bello del Mundo Lyrics[Letra de ""Este Amor es lo Más Bello del Mundo""]

[Verso 1]
Empezar a amar
Descubrir esta verdad
Que recien ya te conozco
Y ya no hay mas
Y es pensar, sentir
Que eres tu mi ultimo fin
Dulce imagen que solto un video-clip
Creeme que te quiero
Que en mi eres VIP
La ternura en mi espejo
Que me sonrie feliz

[Coro]
Porque se que este amor es lo mas bello del mundo
Desato el corazon
Para amar cada segundo
Porque se que este amor que es tan mio como tuyo
No es pasion sin querer
Trapecista sin red
En los dos, en los dos

[Verso 2]
A la luz del sol
Yo te canto esta cancion
Que te dice que me has puesto ya match- point
El dolor se fue de tu cielo de una vez
Si me dices te amo me siento muy bien
Me vistes en la clase
O frente al televisor
Repitiendo tu nombre
O escribiendolo en un
You might also like[Coro]
Porque se que este amor es lo mas bello del mundo
Desato el corazon
Para amar cada segundo
Porque se que este amor que es tan mio como tuyo
No es pasion sin querer
Trapecista sin red
En los dos, en los dosEmbed"
18,10.,1968,4:44,Peligro,1968,"7 Contributors1968 LyricsDime  ¿quién conocia
Qué era entonces la vida?
Andaba el mundo en plan
De hallar la libertad
Y rechazar lo que
El pudor les imponia
Abolir lo que oprimia...

Dime ¿quién encendia
Toda esa rebeldia?
Woodstock y Luther King
Sartre y Gagarin...
¿Qué es lo que me perdí
Cuando yo aún no existía?
¿Fue real o fue mentira?

Sin miedos
Liberemos nuestros sueños
Y vamos
A retomar esos tiempos...

Dime, ¿quedó en la nada
La primavera de Praga?
Lennon-Mac Cartney, El Che
Janis Joplin, Ferré
Twiggy, Hendrix, Dubcek
Y millares de estudiantes
Que apedreaban en las calles...
You might also likeDime del pelo largo
Y de la era de Acuario;
Los hippies, un volcán
Contrarios a Vietnam
Joan Báez, y U Thant
Esos sueños ideales
Simbolos de Flower Power

Sin miedos
Liberemos nuestros sueños
Y vamos
A retomar esos tiempos...

...y ahora todos con las palmas
Como es...

Ya se está perdiendo
Ese espíritu del ayer
Ay decidete
Si indiferente no quieres ser
Ay decidete
Decidete
Decide ya....

Mira que no hay oportunidad
Decidete, decidete decide ya
Mira no las hay, es tiempo de actuarEmbed"
19,1.,Estoy aquí,3:52,Pies Descalzos,Estoy aquí,"24 ContributorsEstoy Aquí Lyrics[Letra de ""Estoy Aquí""]

[Verso 1]
Ya sé que no vendrás, todo lo que fue
El tiempo lo dejó atrás, sé que no regresarás
Lo que nos pasó no repetirá jamás
Mil años no me alcanzarán para borrarte y olvidar

[Pre-Coro]
Y ahora estoy aquí queriendo convertir
Los campos en ciudad, mezclando el cielo con el mar
Sé que te dejé escapar, sé que te perdí
Nada podrá ser igual
Mil años pueden alcanzar (Mil años pueden alcanzar)
Para que puedas perdonar

[Coro]
Estoy aquí queriéndote, ahogándome
Entre fotos y cuadernos, entre cosas y recuerdos
Que no puedo comprender
Estoy enloqueciendome
Cambiándome un pie por la cara mía
Esta noche por el día, ¿y qué?
Nada le puedo yo hacer

[Verso 2]
Las cartas que escribí, nunca los envié
No quieras saber de mí
No puedo entender la tonta que fui
Es cuestión de tiempo y fe
Mil años con otros mil más (Mil años con otros mil más)
Son suficientes para amar
You might also like[Coro]
Estoy aquí queriéndote, ahogándome
Entre fotos y cuadernos, entre cosas y recuerdos
Que no puedo comprender
Estoy enloqueciendome
Cambiándome un pie por la cara mía
Esta noche por el día, ¿y qué?
Estoy aquí queriéndote, ahogándome
Entre fotos y cuadernos, entre cosas y recuerdos que
Estoy enloqueciendome
Cambiándome un pie por la cara mía
Esta noche por el día, ¿y qué?

[Puente]
Si aún piensas algo en mí
Sabes que sigo esperándote

[Coro]
Estoy aquí queriéndote, ahogándome
Entre fotos y cuadernos, entre cosas y recuerdos que
Estoy enloqueciendome
Cambiándome un pie por la cara mía
Esta noche por el día, ¿y qué?
Estoy aquí queriéndote, ahogándome
Entre fotos y cuadernos, entre cosas y recuerdos que
Estoy enloqueciendome
Cambiándome un pie por la cara mía
Esta noche por el día, ¿y qué?
[Outro]
(Estoy aquí queriéndote)
Estoy aquí
(Estoy enloqueciendome)
(Estoy aquí queriéndote, ahogándome)
Enloqueciendome
(Estoy enloqueciendome)2Embed"
20,2.,Antología,4:14,Pies Descalzos,Antología,"30 ContributorsTranslationsEnglishAntología Lyrics[Letra de ""Antología""]

[Verso]
Para amarte, necesito una razón
Y es difícil creer que no exista
Una más que este amor
Sobra tanto dentro de este corazón
Y a pesar de que dicen que los años son sabios
Todavía se siente el dolor

[Pre-Coro 1]
Porque todo el tiempo que pase junto a ti
Dejó tejido su hilo dentro de mí

[Coro 1]
Y aprendí a quitarle al tiempo los segundos
Tú me hiciste ver el cielo aún más profundo
Junto a ti creo que aumenté más de tres kilos
Con tus tantos dulces besos repartidos
Desarrollaste mi sentido del olfato
Y fue por ti que aprendí a querer los gatos
Despegaste del cemento mis zapatos
Para escapar los dos volando un rato

[Pre-Coro 2]
Pero olvidaste una final instrucción
Porque aún no sé cómo vivir sin tu amor
You might also like[Coro 2]
Y descubrí lo que significa una rosa
Me enseñaste a decir mentiras piadosas
Para poder verte a horas no adecuadas
Y a reemplazar palabras por miradas
Y fue por ti que escribí más de cien canciones
Y hasta perdoné tus equivocaciones
Y conocí más de mil formas de besar
Y fue por ti que descubrí lo que es amar
Lo que es amar

[Outro]
Lo que es amar
Lo que es amar
Lo que es amar
Lo que es amar
Lo que es amar
Lo que es amar8Embed"
